contract_id,method,target_name,target_standard_error,observation_variance_estimate,required_pricing_observations
strike_high,GCV,target_gcv_standard_error,0.0017602867212702683,0.031007125674256526,10007
strike_high,MC,target_gcv_standard_error,0.0017602867212702683,6.170456306229474,1991364
strike_high,NCV_SCRATCH,target_gcv_standard_error,0.0017602867212702683,,NA
strike_high,NCV_TRANSFER_BETA,target_gcv_standard_error,0.0017602867212702683,,NA
strike_high,NCV_TRANSFER_BETA1,target_gcv_standard_error,0.0017602867212702683,,NA
strike_high,AV,target_ncv_scratch_standard_error,,2.951046460260443,NA
strike_high,GCV,target_ncv_scratch_standard_error,,0.031007125674256526,NA
strike_high,MC,target_ncv_scratch_standard_error,,6.170456306229474,NA
strike_high,NCV_SCRATCH,target_ncv_scratch_standard_error,,,NA
strike_high,NCV_TRANSFER_BETA,target_ncv_scratch_standard_error,,,NA
strike_high,NCV_TRANSFER_BETA1,target_ncv_scratch_standard_error,,,NA
strike_high,AV,target_fixed_standard_error,0.05,2.951046460260443,1181
strike_high,GCV,target_fixed_standard_error,0.05,0.031007125674256526,13
strike_high,MC,target_fixed_standard_error,0.05,6.170456306229474,2469
strike_high,NCV_SCRATCH,target_fixed_standard_error,0.05,,NA
strike_high,NCV_TRANSFER_BETA,target_fixed_standard_error,0.05,,NA
strike_high,NCV_TRANSFER_BETA1,target_fixed_standard_error,0.05,,NA
strike_low,AV,target_gcv_standard_error,0.002918691763920244,1.9604324990665078,230132
strike_low,GCV,target_gcv_standard_error,0.002918691763920244,0.08522029899379711,10004
strike_low,MC,target_gcv_standard_error,0.002918691763920244,127.49945341779622,14966901
strike_low,NCV_SCRATCH,target_gcv_standard_error,0.002918691763920244,,NA
strike_low,NCV_TRANSFER_BETA,target_gcv_standard_error,0.002918691763920244,,NA
strike_low,NCV_TRANSFER_BETA1,target_gcv_standard_error,0.002918691763920244,,NA
strike_low,AV,target_ncv_scratch_standard_error,,1.9604324990665078,NA
strike_low,GCV,target_ncv_scratch_standard_error,,0.08522029899379711,NA
strike_low,MC,target_ncv_scratch_standard_error,,127.49945341779622,NA
strike_low,NCV_SCRATCH,target_ncv_scratch_standard_error,,,NA
strike_low,NCV_TRANSFER_BETA,target_ncv_scratch_standard_error,,,NA
strike_low,NCV_TRANSFER_BETA1,target_ncv_scratch_standard_error,,,NA
strike_low,AV,target_fixed_standard_error,0.05,1.9604324990665078,785
strike_low,GCV,target_fixed_standard_error,0.05,0.08522029899379711,35
strike_low,MC,target_fixed_standard_error,0.05,127.49945341779622,51000
strike_low,NCV_SCRATCH,target_fixed_standard_error,0.05,,NA
strike_low,NCV_TRANSFER_BETA,target_fixed_standard_error,0.05,,NA
strike_low,NCV_TRANSFER_BETA1,target_fixed_standard_error,0.05,,NA
volatility_high,AV,target_gcv_standard_error,0.01464071249365365,148.19104429282672,691350
volatility_high,GCV,target_gcv_standard_error,0.01464071249365365,2.146834646192317,10016
volatility_high,MC,target_gcv_standard_error,0.01464071249365365,450.9438861142884,2103770
volatility_high,NCV_SCRATCH,target_gcv_standard_error,0.01464071249365365,,NA
volatility_high,NCV_TRANSFER_BETA,target_gcv_standard_error,0.01464071249365365,,NA
volatility_high,NCV_TRANSFER_BETA1,target_gcv_standard_error,0.01464071249365365,,NA
volatility_high,AV,target_ncv_scratch_standard_error,,148.19104429282672,NA
volatility_high,GCV,target_ncv_scratch_standard_error,,2.146834646192317,NA
volatility_high,MC,target_ncv_scratch_standard_error,,450.9438861142884,NA
volatility_high,NCV_SCRATCH,target_ncv_scratch_standard_error,,,NA
volatility_high,NCV_TRANSFER_BETA,target_ncv_scratch_standard_error,,,NA
volatility_high,NCV_TRANSFER_BETA1,target_ncv_scratch_standard_error,,,NA
volatility_high,AV,target_fixed_standard_error,0.05,148.19104429282672,59277
volatility_high,GCV,target_fixed_standard_error,0.05,2.146834646192317,859
volatility_high,MC,target_fixed_standard_error,0.05,450.9438861142884,180378
volatility_high,NCV_SCRATCH,target_fixed_standard_error,0.05,,NA
volatility_high,NCV_TRANSFER_BETA,target_fixed_standard_error,0.05,,NA
volatility_high,NCV_TRANSFER_BETA1,target_fixed_standard_error,0.05,,NA
volatility_low,AV,target_gcv_standard_error,0.000614593112662506,2.81136214988398,7442887
volatility_low,GCV,target_gcv_standard_error,0.000614593112662506,0.003779241936504669,10006
volatility_low,MC,target_gcv_standard_error,0.000614593112662506,17.877465730602992,47329354
volatility_low,NCV_SCRATCH,target_gcv_standard_error,0.000614593112662506,,NA
volatility_low,NCV_TRANSFER_BETA,target_gcv_standard_error,0.000614593112662506,,NA
volatility_low,NCV_TRANSFER_BETA1,target_gcv_standard_error,0.000614593112662506,,NA
volatility_low,AV,target_ncv_scratch_standard_error,,2.81136214988398,NA
volatility_low,GCV,target_ncv_scratch_standard_error,,0.003779241936504669,NA
volatility_low,MC,target_ncv_scratch_standard_error,,17.877465730602992,NA
volatility_low,NCV_SCRATCH,target_ncv_scratch_standard_error,,,NA
volatility_low,NCV_TRANSFER_BETA,target_ncv_scratch_standard_error,,,NA
volatility_low,NCV_TRANSFER_BETA1,target_ncv_scratch_standard_error,,,NA
volatility_low,AV,target_fixed_standard_error,0.05,2.81136214988398,1125
volatility_low,GCV,target_fixed_standard_error,0.05,0.003779241936504669,2
volatility_low,MC,target_fixed_standard_error,0.05,17.877465730602992,7151
volatility_low,NCV_SCRATCH,target_fixed_standard_error,0.05,,NA
volatility_low,NCV_TRANSFER_BETA,target_fixed_standard_error,0.05,,NA
volatility_low,NCV_TRANSFER_BETA1,target_fixed_standard_error,0.05,,NA
